English,Hindi
mat,चटाई
lengths,लंबाई
kindergarten,KINDERGARTEN
hostess,मालकिन
flaw,गलती
flavor,स्वाद
diving,गोताखोरी के
discharge,स्राव होना
Dewey,डेवी
consumed,ग्रहण किया हुआ
confidentiality,गोपनीयता
Claude,क्लाउड
cannon,तोप
bourbon,बर्बन
blizzard,बर्फानी तूफान
Bernie,बर्न
automatic,स्वचालित
amongst,बीच में
woody,वुडी
Viktor,विक्टर
victim's,पीड़ित
urban,शहरी
tactics,युक्ति
straightened,सीधा
spooky,डरावना
specials,स्पेशल
spaghetti,स्पघेटी
soil,मिट्टी
Sherman,शर्मन
prettier,खूबसूरत
powerless,शक्तिहीन
por,पोर
poems,कविता
playin,खेलना
playground,खेल का मैदान
pd,पी.डी.
Parker's,पार्कर
paranoia,पागलपन
Oscar,ऑस्कर
NSA,एनएसए
mutant,उत्परिवर्ती
Moore,मूर
mainly,में मुख्य
Mac's,मैक का
lions,लायंस
knox,नॉक्स
joe's,जोस
jacqueline,जैकलिन
instantly,हाथों हाथ
hopeful,आशावान
havoc,प्रलय
francis,फ्रांसिस
exaggerating,अतिशयोक्ति
evaluation,मूल्यांकन
engage,काम पर लगाना
eavesdropping,चोरी छुपे सुनना
doughnuts,क्या पागल
diversion,परिवर्तन
delight,आनंद
deepest,गहरी
dang,डांग
cutest,सबसे प्यारे
companion,साथी
comb,कंघा
bela,बेला
behaving,व्यवहार
avoided,बचना
aspen,एस्पेन
anyplace,कोई भी जगह
agh,आह
accessory,गौण
zap,गाली मार देना
workout,कसरत करना
whereas,जबकि
translate,अनुवाद
titanic,टाइटैनिक
stuffing,भराई
stoned,शराबी
speeding,तेज
slime,कीचड़
royalty,रॉयल्टी
polls,चुनाव
plaza,चौक
personalities,व्यक्तित्व
payments,भुगतान
musician,संगीतकार
maze,भूल भुलैया
marital,वैवाहिक
magician,जादूगर
lurking,गुप्त
lottery,लॉटरी
leonardo,लियोनार्डो
journalism,पत्रकारिता
interior,आंतरिक भाग
imaginary,काल्पनिक
hog,सूअर
hatch,अंडे से निकलना
guinea,गिनी
greetings,अभिवादन
game's,खेल
fairwinds,अच्छी हवा
ethical,नैतिक
equipped,लैस
environmental,पर्यावरण
elegant,सुरुचिपूर्ण
elbow,कोहनी
customs,प्रथाएँ
cuban,क्यूबा
credibility,साख
credentials,साख
consistent,एक जैसा
collapse,गिर जाना
cloth,कपड़ा
claws,पंजे
cinderella,सिंडरेला
chopped,काटा हुआ
challenges,चुनौतियां
bridal,दुल्हन
boards,बोर्डों
bedside,बेडसाइड
babysitting,बच्चा सम्भालना
authorized,अधिकार दिया गया
assumption,मान्यता
ant,चींटी
alvarez,अल्वारेज़
youngest,सबसे कम उम्र
witty,विनोदपूर्ण
vast,बहुत बड़ा
unforgivable,अक्षम्य
underworld,अंडरवर्ल्ड
tempt,लुभाना
tabs,टैब
succeeded,सफल हुए
splash,छप छप
sophomore,द्वितीय
shade,छाया
selfless,स्वार्थरहित
secrecy,गुप्तता
santiago,सेंटियागो
runway,मार्ग
restless,बेचेन होना
programming,प्रोग्रामिंग
professionally,पेशेवर
okey,शाबाशी
nolan,नोलन
movin,मवेशी
metaphor,रूपक
messes,खराब करता
meltdown,मंदी
lecter,लेक्टर
jeanne,जैन
incoming,आने वाली
hence,इस तरह
glenn,ग्लेन
gasoline,पेट्रोल
gained,प्राप्त की
funding,अनुदान
episodes,एपिसोड
diefenbaker,डाइफेनबेकर
curl,कर्ल
contain,रोकना
comedian,हास्य अभिनेता
collected,एकत्र किया हुआ
coconut,नारियल
cam,कैम
buckle,बकसुआ
assembly,सभा
ancestors,पूर्वज
admired,प्रशंसा की
adjustment,समायोजन
acceptance,स्वीकार
weekly,साप्ताहिक
warmth,गरमाहट
venice,वेनिस
umbrella,छाता
tropical,उष्णकटिबंधीय
thumbs,अंगूठे
throats,गले
slippery,फिसलाऊ
shitty,शटालिक
seduced,लुभाया हुआ
ridge's,रिज
reform,सुधार
rebecca's,रेबेका का
ranger,रेंजर
queer,विचित्र
poll,मतदान
parenting,parenting
onion,प्याज
noses,नाक
mobile,गतिमान
luckiest,सबसे भाग्यशाली
hartford,हार्टफोर्ड
graveyard,कब्रस्तान
gifted,उपहार में दिया
francine,फ्रांसिन
footsteps,नक्शेकदम
dimeras,डिमेरस
dale,घाटी
cynical,निंदक
corleone,कोरलियॉन
cement,सीमेंट
bloom,खिलना
assassination,हत्या
wedded,दांपत्य
watson,वाटसन
voyage,जलयात्रा
volunteers,स्वयंसेवकों
verbal,मौखिक
unpredictable,अप्रत्याशित
tuned,देखते
triumph,विजयोल्लास
trevor,ट्रेवर
stoop,गिर
stamps,टिकटों
slides,स्लाइड
sinking,डूब
show's,दिखाता है
rio,रियो
rigged,धांधली
regulations,नियमों
region,क्षेत्र
promoted,PROMOTED
plumbing,नलकारी
pimp,दलाल
nell,नेल
masters,परास्नातक
lingerie,नीचे पहनने के कपड़ा
layer,परत
katie's,केटी का
jules,जूल्स
hankey,हैंकी
greed,लालच
fluffy,रोएँदार
flood,बाढ़
essential,आवश्यक
elope,साथ भाग जाना
dresser,ड्रेसर
departure,प्रस्थान
dat,डैट
dances,नृत्य
custom,रिवाज़
creation,निर्माण
coup,तख्तापलट
chauffeur,ड्राइवर
bulletin,बुलेटिन
bugged,बगुला हुआ
brian,ब्रायन
bouncing,उछाल वाली
bimbo,बिम्बो
website,वेबसाइट
veal,बछड़े का मांस
tubes,ट्यूबों
temptation,प्रलोभन
supported,का समर्थन किया
strangest,अजीब
sorel's,सोरेल का
slammed,पटक दिया
selection,चयन
sarcasm,कटाक्ष
sanity,मानसिक स्वास्थ्य
sandra,सैंड्रा
rib,पसली
primitive,प्राचीन
platform,प्लैटफ़ॉर्म
pending,लंबित
partial,आंशिक
packages,संकुल
orderly,व्यवस्थित
obsessive,जुनूनी
ni,नी
newbie,नौसिखिया
nevertheless,फिर भी
NBC,एनबीसी
murderers,हत्यारे
motto,आदर्श वाक्य
Moscow,मास्को
meteor,उल्का
inconvenience,असुविधा
hottie,आकर्षक
Gotham,गोथम
glimpse,झलक
Gillian,गिलियन
froze,फ़्रीज़
fiber,फाइबर
Ferris,चर्खी
faggot,होमोसेक्सुअल
execute,अमल में लाना
etc,वगैरह
ensure,सुनिश्चित करना
drivers,ड्राइवरों
dispute,विवाद
damages,क्षतियों
crop,काटना
courageous,साहसिक
consulate,वाणिज्य दूतावास
closes,बंद
Carolina,कैरोलिना
bosses,मालिकों
bees,बीईईएस
amends,हरजाना
wuss,धरना
Wolfram,Wolfram
wacky,निराला
unemployed,बेरोजगार
traces,निशान
town's,टाउन का
testifying,गवाही
tendency,प्रवृत्ति
syringe,सिरिंज
symphony,स्वर की समता
stew,मछली पालने का जहाज़
startled,चौंका
sorrow,दुख
sleazy,निर्बल
shaky,अस्थिर
screams,चिल्लाती
runner,धावक
rsquo,rsquo
riddle,पहेली
remark,टिप्पणी
rangers,रेंजर लोग
poop,जहाज़ का सबसे पिछला भाग
poke,झांकना
pickup,उठाना
phone's,फ़ोन का
Philip's,फिलिप
nutty,अखरोट के स्वाद का
Nobel,नोबेल
mentioning,उल्लेख
mend,रफ़ू किया हुआ छेद
menace,खतरा
mayor's,मेयर का
Lorraine,LORRAINE
Kip,रात बिताने का स्थान
Iowa,आयोवा
inspiring,प्रेरणादायक
impulsive,आवेगशील
housekeeper,नौकरानी
harvest,फसल
Germans,जर्मनों
formed,बनाया
foam,झाग
fingernails,नाखूनों
economic,आर्थिक
divide,विभाजित करना
conditioning,कंडीशनिंग
Clarice,क्लेरिस
chronic,दीर्घकालिक
bass,बास
baking,पकाना
Alfred,अल्फ्रेड
whine,कराहना
utter,बोलना
thug,हत्यारा
submit,जमा करना
strap,पट्टा
starved,की कमी से जूझ
sniffing,सूँघने
sedative,सीडेटिव
rose's,रोज़
reversed,उलट
rated,मूल्यांकन
publishing,प्रकाशित करना
programmed,प्रोग्राम
picket,पहरे पर तैनात करना
paged,पृष्ठांकित
online,ऑनलाइन
nowadays,आजकल
newman's,न्यूमैन का
mines,खानों
margo's,मार्गो
jumbo,जंबो
joni,जोनी
iv,चतुर्थ
invasion,आक्रमण
hound,हाउंड
homosexual,समलैंगिक
homo,होमोसेक्सुअल
hips,नितंब
gilbert,गिल्बर्ट
forgets,भूल जाते हैं
flipping,flipping
flea,देहिका
flatter,चापलूसी
enters,प्रवेश करती है
dwell,बसना
dumpster,कचरे के डिब्बे
ducks,बतख
devlin,डेवलिन
dent,काटने का निशान
consultant,सलाहकार
clayton,क्लेटन
choo,चू
bikini,बिकिनी
beale,बील
banking,बैंकिंग
assignments,कार्य
apartments,अपार्टमेंट
ants,चींटियों
affecting,प्रभावित
advisor,सलाहकार
vile,नीच
unreasonable,अकारण
tossing,पटकना
thanked,धन्यवाद दिया
stereo,स्टीरियो
steals,चुरा
souvenir,यादगार
screening,स्क्रीनिंग
scratched,खरोंच
rep,निरसित
psychopath,मनोचिकित्सा
proportion,अनुपात
peyton,पीटन
outs,बहिष्कार
operative,ऑपरेटिव
obstruction,बाधा
obey,आज्ञा का पालन करना
neutral,तटस्थ
maxwell,मैक्सवेल
lump,पिंड
lockdown,लॉकडाउन
lily's,लिली का
insists,इस बात पर जोर
ian's,इयान
harass,परेशान
gloat,घूरना
flights,उड़ानें
filth,गंदगी
extended,विस्तारित
electronic,इलेक्ट्रोनिक
edgy,नुकीला
donkey,गधा
diseases,बीमारी
didn't,नहीं था
Curtis,कर्टिस
coroner,कोरोनर
confessing,कबूल
cologne,इत्र
cedar,देवदार
CA,सीए
bruise,चोट
betraying,धोखा
bailing,प्रति सहिष्णु
attempting,प्रयास करने से
appealing,आकर्षक
adebisi,अदेबिसी
wrath,क्रोध
wandered,फिरते
waist,कमर
vain,व्यर्थ
traps,जाल
transportation,यातायात
trainer,ट्रेनर
sushi,सुशी
stepfather,सौतेला बाप
rye,राई
publicly,सार्वजनिक रूप
presidents,राष्ट्रपतियों
poking,पकाने वाला
obligated,बाध्य
Monroe,मोनरो
Medina,मेडिना
marshal,मार्शल
Lexie's,लेक्सिज़
lemonade,नींबू पानी
instructed,निर्देश दिए
hooks,हुक
heavenly,स्वर्गीय
hash,हैश
halt,पड़ाव
grim,विकट
engineer,अभियंता
employed,कार्यरत
doggie,कुत्ता
diplomatic,कूटनीतिक
dilemma,दुविधा
crazed,पागल
contagious,संक्रामक
coaster,किनारे का जहाज़
cheering,जय-जयकार करना
carved,खुदी हुई
carpenter,बढ़ई
butch,बुच
bundle,बंडल
bubbles,बबल
blanks,कारतूस
approached,संपर्क किया
appearances,दिखावे
wrench,पाना
vomit,उल्टी करना
thingy,बात
stadium,स्टेडियम
speeches,भाषण
smashing,मुंहतोड़
savior,मुक्तिदाता
rogue,दुष्ट
robbing,लूटना
reflect,प्रतिबिंबित होना
raft,बेड़ा
qualify,अर्हता
pumped,पंप
pillows,तकिए
piggy,सूअर का बच्चा
peep,झलक
pageant,तमाशा
packs,पैक
neo,नियो
neglected,नजरअंदाज कर दिया
montana,MONTANA
marcie,मार्सी
madonna,ईसा की माता
m'kay,m'kay
loneliness,अकेलापन
liberal,उदारवादी
jaye,जाए
intrude,अतिक्रमण
indicates,दर्शाता है
helluva,हेलुवा
hawkeye,हॉकआई
gregory,ग्रेगरी
gardener,माली
freely,आज़ादी
fatass,वसा
err,ग़लती होना
eleanor,एलेनोर
drooling,डुबकी
cassandra,कैसेंड्रा
betcha,ठीक समझा है
apollo,अपोलो
alan's,एलन का
addressed,संबोधित
acquired,अधिग्रहीत
vase,गुलदान
tiffany,टिफ़नी
supermarket,सुपरमार्केट
squat,फूहड़
spitting,थूकना
spice,मसाला
spaces,खाली स्थान
slaves,गुलाम
showers,बारिश
sanchez,सांचेज़
rhyme,तुक
relieve,छोड़ना
receipts,प्राप्तियां
radical,मौलिक
racket,रैकेट
purchased,खरीदा
preserve,संरक्षित करना
portland,पोर्टलैंड
pictured,कल्पना
pause,रोकना
overdue,अतिदेय
officials,अधिकारियों
nod,सिर हिलाकर सहमति देना
motivation,प्रेरणा
morgendorffer,मोरगेंडोर्फ़र
lucky's,लकी का
lacking,अभाव
kidnapper,उठाईगीरा
introduction,परिचय
insect,कीड़ा
hunters,शिकारी
horns,सींग का
feminine,संज्ञा
eyeballs,आंखों
dumps,उदासीनता
disc,डिस्क
disappointing,निराशाजनक
difficulties,कठिनाइयों
crock,थका हुआ
convertible,परिवर्तनीय
context,प्रसंग
claw,पंज
clamp,क्लैंप
canned,डिब्बा बंद
cambias,कंबियास
bishop,बिशप
bathtub,बाथटब
avanya,अवन्या
artery,धमनी
andre,आंद्रे
weep,रोना
warmer,गरम
vendetta,प्रतिशोध
tenth,दसवां
suspense,कौतुहल
summoned,बुलायी गयी
stuff's,स्टफ का
spiders,मकड़ियों
sings,गाती
reiber,फिर से करना
reader,पाठक
raving,दीवाना
produced,उत्पादन
poverty,गरीबी
postponed,स्थगित
poppy,अफीम
ohhhh,ओह
noooo,", नहीं"
mold,साँचे में ढालना
mice,चूहे
laughter,हँसी
johnnie,जॉनी
incompetent,अक्षम
hugging,गले
horizon,क्षितिज
grove,कुंज
groceries,किराने का सामान
frequency,आवृत्ति
fastest,सबसे तेज़
drip,टपक
dinosaur,डायनासोर
differ,अलग होना
delta,डेल्टा
daphne's,डैफने का
copper,ताँबा
communicating,संचार
clare,क्लेयर
chi,ची
carrier,वाहक
brody,ब्रॉडी
body's,बॉडीज
beliefs,मान्यताएं
bats,चमगादड़
bases,अड्डों
auntie,चाची
adios,नस्ल
wraps,wraps
wiser,समझदार
willingly,अपनी मर्जी
weirdest,अजीब
waltz,वाल्ट्ज
vu,वू
voila,देखा
timmih,टिम्मिह
thinner,पतली
swelling,सूजन
swat,शक्तिशाली मार
steroids,'स्टेरॉयड
slate,स्लेट
sentinel,पहरेदार
sensitivity,संवेदनशीलता
scrape,खरोंच
rookie,धोखेबाज़
rehearse,अभ्यास
quarterback,क्वार्टरबैक
prophecy,भविष्यवाणी
pi,अनुकरणीय
organic,कार्बनिक
mercedes,मर्सिडीज
matched,मिलान
ledge,हद
justified,न्याय हित
insults,अपमान
increased,बढ़ा हुआ
immortal,अमर
heavily,भारी
hateful,घृणित
handles,संभालती है
francie,फ्रैंसी
feared,आशंका
einstein,आइंस्टाइन
doorway,द्वार
decorations,सजावट
Cyril,साइरिल
colour,रंग
chatting,चैटिंग
buyer,क्रेता
buckaroo,बकारू
bedrooms,बेडरूम
Beckett,बेकेट
batting,बल्लेबाजी
askin,आस्किन
ammo,बारूद
admiral,एडमिरल
wrestle,कुश्ती
wolves,भेड़िया
velvet,मखमल
tutoring,ट्यूशन
subpoena,आकारक
stein,बीर पीने के लिये मिट्टी का प्याला
span,अवधि
scratching,scratching
requests,अनुरोध
privileges,विशेषाधिकार
pager,पेजर
mart,बाजार
Marlo,मार्लो
manor,जागीर
madman,पागल आदमी
knicks,निक्स
Klaus,क्लाउस
kel,केल
intriguing,साज़िश का
idiotic,मूर्खतापूर्ण
hotels,होटल
Hans,हंस
grape,अंगूर
granger,गोशाला का अधिकार
goofy,नासमझ
flexible,लचीला
enlighten,सूचित करना
dum,खुरदरा
door's,दरवाजे
donuts,डोनट्स
Dixie's,डिक्सी
demonstrate,दिखाना
dairy,डेरी
corrupt,भ्रष्ट
combined,संयुक्त
Claudia,क्लाउडिया
brunch,ब्रंच
bridesmaid,वर
barking,बार्किंग
architect,आर्किटेक्ट
applause,वाहवाही
alongside,साथ - साथ
ale,यवसुरा
acquaintance,जान-पहचान
yuh,युह
wretched,मनहूस
Tanya,ट न्या
tango,टैंगो
superficial,सतही
sufficient,पर्याप्त
sued,पर मुकदमा दायर
soak,डुबाना
smoothly,सुचारू रूप से
sensing,संवेदन
restraint,संयम
quo,क्यू
POW,पाउ
posing,प्रस्तुत
pleading,प्रार्थना का
Pittsburgh,पिट्सबर्ग
Peru,पेरू
payoff,भुगतान करें
participate,हिस्सा लेना
panda,पांडा
organize,आयोजन
Oprah,ओपरा
Nemo,निमो
morals,नैतिकता
Lola,लोला
loans,ऋण
loaf,टुकड़ा
lists,सूचियों
laboratory,प्रयोगशाला
Kimble,किम्ब्ले
jumpy,चिड़चिड़ा
intervention,हस्तक्षेप
ignorant,अज्ञानी
herbal,हर्बल
hangin,धीरज रखो
germs,कीटाणुओं
generosity,उदारता
fu,फू
freed,मुक्त किया गया
flashing,चमकता
doughnut,डोनट
country's,देश का
convent,मठ
clumsy,अनाड़ी
chocolates,चॉकलेट
captive,बंदी
Burt,बर्ट
Bianca's,बियांका का
behaved,व्यवहार किया
Bambi,बांबी
babes,बेब्स
apologise,क्षमा माँगना
angelus,देवदूत प्रार्थना
vanity,घमंड
trials,परीक्षणों
Sweeney,स्वीनी
stumbled,ठोकर खाई
Stevie,स्टीव
skate,स्केट
shampoo,शैम्पू
republicans,रिपब्लिकन
represented,का प्रतिनिधित्व किया
Regina,रेजिना
recognition,मान्यता
preview,पूर्व दर्शन
poisonous,जहरीला
perjury,झूठा साक्ष्य
parental,पैतृक
onboard,सवार
mugged,गड़बड़
minding,काम कर
maestro,कलाकार
linen,सनी
learns,सीखता
knots,समुद्री मील
jimbo,एक प्रकार का
interviewing,साक्षात्कार
inmates,कैदियों
ingredients,अवयव
humour,हास्य
gypsy,जिप्सी
grind,पिसना
greasy,चिकनी
goons,गुंडों
Gabriel,गेब्रियल
frost,ठंढ
estimate,अनुमान लगाना
elementary,प्राथमिक
Edmund's,एडमंड
drastic,भीषण
database,डेटाबेस
Danielle,डेनिएल
Damon,डैमन
crow,कौआ
coop,सहकारी
comparing,की तुलना
cocky,अहंकारी
clearer,साफ
cartoons,कार्टून
bruised,चोट
brag,डींग
bind,बाँधना
axe,कुल्हाड़ी
asset,संपत्ति
Armstrong,आर्मस्ट्रांग
apparent,प्रकट
Ann's,ऐन का
worthwhile,सार्थक
whoop,ललकार
wedding's,वेडिंग
warner,वार्नर
volcano,ज्वर भाता
vanquishing,वंचित करना
towns,कस्बों
Terri,टेरी
tabloids,पत्रिकाएँ
survivors,जीवित बचे लोगों
Stenbeck's,स्टेनबेक
sprung,उछला
spotlight,सुर्खियों
smokes,सिगरेट
shops,दुकानें
sentencing,सजा
sentences,वाक्य
Scully,स्कली
Schwartz,श्वार्ट्ज
Roosevelt,रूजवेल्ट
rivers,नदियों
revealing,खुलासा
reduce,कम करना
ram,टक्कर मारना
racist,जातिवाद
provoke,उकसाना
preacher,उपदेशक
piper's,पाइपर
pining,पिनिंग
peak,चोटी
password,पासवर्ड
overly,अति
oui,उई
ops,ऑप्स
mop,एमओपी
mayo,मेयो
Louisiana,लुइसियाना
locket,लाकेट
leland,लेलैंड
king's,राजा
jab,प्रहार
imply,मतलब
impatient,अधीर
hovering,मँडरा
hotter,गर्म
holland,हॉलैंड
gemini,मिथुन राशि
gaines,गेंस
fest,त्यौहार
endure,सहन करना
dots,डॉट्स
doren,डोरेन
dim,धुंधला
diagnosed,निदान
debts,कर्ज
cultures,संस्कृति
crawled,क्रॉल
contained,निहित
condemned,निंदा की
cody,कोड़ी
chained,श्रृंखलित
brit,ब्रिट
breaths,साँस
booty,लूट का माल
arctic,आर्कटिक
ambrosia,अमृत
adds,कहते हैं
weirdo,निराला आदमी
warmed,गरम
wand,छड़ी
vs,बनाम
vienna,वियना
utah,यूटा
troubling,परेशान
tok'ra,टोकरा
stripped,छीन
strapped,तंगी
spies,जासूस
soaked,भिगो
skipping,रस्सी कूदना
sharon's,शेरोन
scrambled,तले हुए
rattle,खड़खड़
profound,गहरा
perez,पेरेस
peoples,पीपुल्स
oy,ओए
musta,मस्टा
moses,मूसा
mona,मोना
mocking,मजाक
mnh,मंचित
misunderstand,गलत
merit,योग्यता
mayday,मई दिवस
loading,लोड हो रहा है
linked,जुड़े हुए
limousine,लिमोसिन
kacl,ककरा
jody,जोड़ी
investors,निवेशकों
interviewed,साक्षात्कार
hustle,धकेलना
forensic,फोरेंसिक
foods,खाद्य पदार्थ
espresso,एस्प्रेसो
enthusiastic,उत्साही
ee,ईईई
duct,मुंह पर चिपकाने
drawers,दराज
devastating,भयानक
democrats,डेमोक्रेट
cosmo,कॉस्मो
conquer,जीत
concentration,एकाग्रता
comeback,वापस लौटें
clarify,स्पष्ट करना
chores,उबाऊ काम
cheerleaders,चियरलीडर्स
cheaper,सस्ता
charter,चोर
charlie's,चार्ली
chantal,चेनटल
callin,बुलाना
butcher,कसाई
bricks,ईंटों
bozo,बोजो
blushing,लालित
bert,बर्ट
barging,घिसा -पिटा
asia,एशिया
abused,दुर्व्यवहार
yoga,योग
wrecking,नष्ट
wits,दिमाग
wentworth,वेंटवर्थ
waffles,Waffles
virginity,कौमार्य
vibes,अनुभूति
uninvited,बिन बुलाये मेहमान
unfaithful,अनफेथफुल
underwater,पानी के नीचे
tribute,श्रद्धांजलि
teller,टेलर
su,र
strangled,गला
state's,राज्य का
sissy,बहिन
scheming,षडयंत्रकारी
ropes,रस्सियों
responded,प्रतिक्रिया व्यक्त
residents,रहने वाले
rescuing,बचाव
reel,रील
redhead,लाल सिरवाला
rave,पागल होना
priests,पुजारियों
postcard,पोस्टकार्ड
peterman,पीटरमैन
overseas,प्रवासी